id_imovel,preco,tipo,area,quartos,bairro
570,1100,0,28,2,2
582,1100,4,80,2,2
767,1200,3,40,1,3
99,800,1,40,1,1
430,1000,4,60,2,1
847,1200,1,37,1,4
198,850,1,30,1,1
575,1100,1,50,2,2
985,1350,1,33,1,4
324,950,1,44,2,1
1116,1500,2,35,1,5
680,1100,2,30,1,3
1336,1800,1,30,1,8
1211,1600,1,32,1,6
893,1300,1,43,2,4
720,1200,1,73,3,3
811,1200,1,35,1,3
1409,2000,1,52,2,11
1265,1700,3,27,1,8
1068,1450,2,30,1,5
549,1050,1,36,1,2
936,1300,2,26,1,4
453,1000,2,35,1,1
1151,1550,1,48,1,5
1269,1700,3,40,1,8
514,1000,1,30,1,2
58,800,2,25,1,1
1042,1400,1,46,1,5
824,1200,1,33,1,3
1050,1400,2,24,1,5
668,1100,1,35,1,3
23,800,4,90,2,1
107,815,1,35,1,1
415,1000,1,54,2,1
759,1200,1,50,2,3
566,1100,1,65,3,2
829,1200,1,30,1,4
672,1100,1,32,1,3
942,1300,2,25,1,4
947,1300,1,24,1,4
968,1350,1,76,3,4
1105,1500,3,25,1,5
526,1000,1,48,1,2
745,1200,1,62,2,3
1284,1700,1,29,1,8
1392,2000,1,72,3,10
432,1000,4,70,2,1
380,950,2,27,1,1
494,1000,1,28,1,2
196,850,1,40,1,1
394,980,1,37,1,1
128,850,1,54,2,1
1205,1600,2,26,1,6
81,800,1,34,1,1
1346,1850,1,60,2,9
350,950,2,27,1,1
1107,1500,2,40,1,5
233,900,1,58,2,1
836,1200,1,30,1,4
111,840,1,52,2,1
1222,1600,1,30,1,6
715,1150,1,30,1,3
900,1300,1,40,2,4
332,950,1,49,2,1
239,900,1,60,2,1
933,1300,1,30,1,4
979,1350,1,30,1,4
322,950,1,55,2,1
175,850,1,29,1,1
270,900,2,25,1,1
756,1200,1,70,2,3
141,850,2,38,1,1
471,1000,2,28,1,2
1406,2000,1,68,2,10
845,1200,2,38,1,4
1034,1400,2,25,1,5
1001,1400,1,78,3,4
1178,1600,1,90,2,6
885,1300,1,60,3,4
631,1100,2,25,1,2
1065,1450,1,33,1,5
782,1200,2,27,1,3
543,1050,1,35,1,2
1425,2000,1,45,1,11
952,1300,1,30,1,4
353,950,2,25,1,1
420,1000,1,58,2,1
351,950,2,26,1,1
1381,1950,1,65,1,9
1144,1500,1,42,1,5
1007,1400,1,56,2,4
1189,1600,1,32,1,6
944,1300,2,25,1,4
254,900,1,29,1,1
1049,1400,2,28,1,5
614,1100,2,30,1,2
770,1200,3,36,1,3
275,900,2,40,1,1
86,800,2,28,1,1
1378,1950,1,55,2,9
265,900,2,25,1,1
1421,2000,1,40,1,11
1179,1600,4,80,2,6
1404,2000,1,55,2,10
1227,1600,1,38,1,6
1140,1500,2,32,1,5
221,900,1,60,2,1
113,850,1,65,3,1
527,1000,1,38,1,2
1113,1500,2,28,1,5
174,850,2,30,1,1
1428,2000,1,35,1,11
297,900,2,25,1,1
1435,2100,4,67,3,11
1009,1400,1,83,2,4
